SignatureId,Perturbagen,Concentration,CellLine,Time
LINCSTP_0064,CI-994,2,A375,3h
LINCSTP_0065,Ruxolitinib,0.5,YAPC,3h
LINCSTP_0066,Exifone,10,MCF7,3h
LINCSTP_0067,Vorinostat,1,MCF10A,3h
LINCSTP_0068,BYL719,0.25,A549,3h
LINCSTP_0069,VX-970,0.1,A375,3h
LINCSTP_0070,Everolimus,0.1,YAPC,3h
LINCSTP_0071,EPZ-5687,6,YAPC,3h
LINCSTP_0072,Etoposide,5,NPC,3h
LINCSTP_0073,Lenalidomide,1,MCF7,6h
LINCSTP_0074,BMS-906024,0.5,MCF7,3h
LINCSTP_0075,SP600125,25,NPC,3h
LINCSTP_0076,Decitabine,10,NPC,3h
LINCSTP_0077,Niclosamide,3,MCF7,3h
LINCSTP_0078,SMER-3,10,A549,3h
LINCSTP_0079,EPZ-5676,10,A549,3h
LINCSTP_0080,Verteporfin,5,MCF7,3h
LINCSTP_0081,Losmapimod,0.25,YAPC,3h
LINCSTP_0082,C646 (CHEMBL1797936),25,A375,3h
LINCSTP_0083,Sotrastaurin,10,MCF7,3h
LINCSTP_0084,Dexamethasone,10,HUVEC,3h
LINCSTP_0085,1271738-62-5,12,YAPC,3h
LINCSTP_0086,BMS-345541,1,MCF7,24h
LINCSTP_0087,Semagacestat,10,YAPC,3h
LINCSTP_0088,Losartan,10,HUVEC,3h
LINCSTP_0089,IPI145,0.5,MCF7,24h
LINCSTP_0090,Dexamethasone,10,A549,3h
LINCSTP_0091,BMS-906024,0.5,NPC,3h
LINCSTP_0092,Bafilomycin A1,0.05,MCF7,3h
LINCSTP_0093,Rolipram,1,NPC,3h
LINCSTP_0094,CPI-169,1,A375,3h
LINCSTP_0095,GSK-J4,5,MCF7,3h
LINCSTP_0096,BIX-01294,10,YAPC,3h
LINCSTP_0097,Etoposide,0.1,MCF10A,3h
LINCSTP_0098,Gsk126,1,HUVEC,3h
LINCSTP_0099,Roscovitine,10,NPC,3h
LINCSTP_0100,MS-275,2,YAPC,3h
LINCSTP_0101,KN-62,10,HUVEC,3h
LINCSTP_0102,PD0325901,4,NPC,3h
LINCSTP_0103,Pazopanib,40,PC3,3h
LINCSTP_0104,Angiotensin II,0.1,HUVEC,3h
LINCSTP_0105,Curcumin,1,A549,3h
LINCSTP_0106,1271738-62-5,12,PC3,3h
LINCSTP_0107,AR A014418,3,MCF7,24h
LINCSTP_0108,PD-0332991,0.5,A375,3h
LINCSTP_0109,Resveratrol,10,NPC,3h
LINCSTP_0110,Trametinib,0.001,MCF10A,6h
LINCSTP_0111,Vemurafenib,10,A549,3h
LINCSTP_0112,Ginkgetin,5,A375,3h
LINCSTP_0113,Tofacitinib,0.4,PC3,3h
LINCSTP_0114,Palbociclib,3.16,MCF10A,6h
LINCSTP_0115,JQ1-S,1,PC3,3h
LINCSTP_0116,CPI-169,1,A549,3h
LINCSTP_0117,Neratinib,0.1,MCF10A,48h
LINCSTP_0118,Compound E,0.1,MCF7,3h
LINCSTP_0119,PD-0332991,0.5,MCF7,3h
LINCSTP_0120,Trametinib,0.003,MCF10A,24h
LINCSTP_0121,SCH 900776,5.5,YAPC,3h
LINCSTP_0122,UNC-0321,10,PC3,3h
LINCSTP_0123,PD0325901,4,MCF7,24h
LINCSTP_0124,IPI145,0.5,PC3,3h
LINCSTP_0125,Dactolisib,1,A549,3h
LINCSTP_0126,PRI-724,1.7,MCF7,3h
LINCSTP_0127,CC-401,5,YAPC,3h
LINCSTP_0128,Dasatinib,0.032,MCF10A,72h
LINCSTP_0129,C646 (CHEMBL1797936),25,A549,3h
LINCSTP_0130,Tretinoin,3,A375,3h
LINCSTP_0131,CHIR99021,2,YAPC,3h
LINCSTP_0132,Zebularine,10,MCF7,3h
LINCSTP_0133,Tofacitinib,0.4,NPC,3h
LINCSTP_0134,Lenalidomide,1,HUVEC,3h
LINCSTP_0135,UNC-0646,0.5,HUVEC,3h
LINCSTP_0136,KU-55933,10,A375,3h
LINCSTP_0137,IPI145,0.5,NPC,3h
LINCSTP_0138,IPI145,0.5,MCF7,6h
LINCSTP_0139,Momelotinib,1,NPC,3h
LINCSTP_0140,BYL719,10,MCF10A,48h
LINCSTP_0141,DMSO,0,MCF7,24h
LINCSTP_0142,RO4929097,3.5,MCF7,6h
LINCSTP_0143,Niclosamide,3,PC3,3h
LINCSTP_0144,GSK525762A,1,A549,3h
LINCSTP_0145,Calpain inhibitor II,5,A375,3h
LINCSTP_0146,GSK-J4,5,A375,3h
LINCSTP_0147,OSI-027,2,NPC,3h
LINCSTP_0148,DMSO,0,MCF10A,24h
LINCSTP_0149,SP600125,25,A375,3h
LINCSTP_0150,Bafilomycin A1,0.05,PC3,3h
LINCSTP_0151,BMS-345541,1,NPC,3h
LINCSTP_0152,Bafilomycin A1,0.05,YAPC,3h
LINCSTP_0153,Pravastatin,0.75,YAPC,3h
LINCSTP_0154,Nilotinib,3,MCF7,24h
LINCSTP_0155,AR A014418,3,MCF7,6h
LINCSTP_0156,Niclosamide,3,NPC,3h
LINCSTP_0157,Dactolisib,1,MCF7,6h
LINCSTP_0158,Tacrolimus,10,HUVEC,3h
LINCSTP_0159,Methylstat,10,NPC,3h
LINCSTP_0160,Flavopiridol,0.4,PC3,3h
LINCSTP_0161,Calpain inhibitor II,5,NPC,3h
LINCSTP_0162,DMSO,0,NPC,3h
LINCSTP_0163,Rolipram,1,A375,3h
LINCSTP_0164,Selumetinib,5.5,MCF7,6h
LINCSTP_0165,Curcumin,1,A375,3h
LINCSTP_0166,PD-0332991,3.16,MCF10A,3h
LINCSTP_0167,CI-994,2,PC3,3h
LINCSTP_0168,CI-994,2,YAPC,3h
LINCSTP_0169,MS-275,2,A549,3h
LINCSTP_0170,Trametinib,0.01,MCF10A,48h
LINCSTP_0171,Tretinoin,3,NPC,3h
LINCSTP_0172,EX527,10,NPC,3h
LINCSTP_0173,Pazopanib,40,MCF7,3h
LINCSTP_0174,SMER-3,10,YAPC,3h
LINCSTP_0175,Dactolisib,1,A375,3h
LINCSTP_0176,Staurosporine,1,MCF7,3h
LINCSTP_0177,GSK525762A,1,YAPC,3h
LINCSTP_0178,Selumetinib,5.5,MCF7,3h
LINCSTP_0179,Vorinostat,1,A375,3h
LINCSTP_0180,Palbociclib,3.16,MCF10A,24h
LINCSTP_0181,SP600125,25,HAoSMC,3h
LINCSTP_0182,UNC-0646,0.5,MCF7,3h
LINCSTP_0183,IPI145,0.5,A549,3h
LINCSTP_0184,Selumetinib,5.5,NPC,3h
LINCSTP_0185,Resveratrol,10,A549,3h
LINCSTP_0186,CHIR99021,2,MCF7,3h
LINCSTP_0187,Tacrolimus,10,HAoSMC,3h
LINCSTP_0188,CI-994,2,NPC,3h
LINCSTP_0189,Resveratrol,10,YAPC,3h
LINCSTP_0190,LY-294002,10,HUVEC,3h
LINCSTP_0191,Nilotinib,3,A375,3h
LINCSTP_0192,AR A014418,3,HUVEC,3h
LINCSTP_0193,Calpain inhibitor II,5,YAPC,3h
LINCSTP_0194,Roscovitine,10,MCF7,3h
LINCSTP_0195,Exifone,10,NPC,3h
LINCSTP_0196,Dexamethasone,10,PC3,3h
LINCSTP_0197,DMSO,0,HAoSMC,3h
LINCSTP_0198,Roscovitine,10,A549,3h
LINCSTP_0199,Geldanamycin,2,A549,3h
LINCSTP_0200,Semagacestat,10,NPC,3h
LINCSTP_0201,Ginkgetin,5,PC3,3h
LINCSTP_0202,GSK1210151A,1,MCF7,3h
LINCSTP_0203,Tofacitinib,0.4,A549,3h
LINCSTP_0204,C646 (CHEMBL1797936),25,YAPC,3h
LINCSTP_0205,Sirolimus,1,PC3,3h
LINCSTP_0206,Belinostat,10,MCF7,3h
LINCSTP_0207,Salermide,10,A375,3h
LINCSTP_0208,Ruxolitinib,0.5,MCF7,3h
LINCSTP_0209,Everolimus,0.1,PC3,3h
LINCSTP_0210,Taxol,0.003,MCF10A,48h
LINCSTP_0211,EPZ004777,3,MCF7,3h
LINCSTP_0212,Dactolisib,1,NPC,3h
LINCSTP_0213,PD0325901,4,A549,3h
LINCSTP_0214,Losmapimod,0.25,A549,3h
LINCSTP_0215,VU0155056,1,A549,3h
LINCSTP_0216,KU-55933,10,YAPC,3h
LINCSTP_0217,BIX-01338,10,MCF7,3h
LINCSTP_0218,Niclosamide,3,YAPC,3h
LINCSTP_0219,Losartan,10,HAoSMC,3h
LINCSTP_0220,Dasatinib,0.1,MCF10A,24h
LINCSTP_0221,SP600125,25,PC3,3h
LINCSTP_0222,EPZ004777,3,A549,3h
LINCSTP_0223,Pazopanib,40,MCF7,24h
LINCSTP_0224,Pravastatin,0.75,A375,3h
LINCSTP_0225,PD-0332991,1,MCF10A,3h
LINCSTP_0226,Trametinib,0.001,MCF10A,48h
LINCSTP_0227,Nilotinib,3,MCF7,6h
LINCSTP_0228,Ginkgetin,5,A549,3h
LINCSTP_0229,CHIR99021,2,PC3,3h
LINCSTP_0230,BIX-01338,10,YAPC,3h
LINCSTP_0231,Staurosporine,1,MCF7,6h
LINCSTP_0232,Lenalidomide,1,A375,3h
LINCSTP_0233,PD0325901,4,A375,3h
LINCSTP_0234,IPI145,0.5,A375,3h
LINCSTP_0235,Pazopanib,40,A549,3h
LINCSTP_0236,CPI-169,1,MCF7,3h
LINCSTP_0237,PD0325901,4,MCF7,3h
LINCSTP_0238,OSI-027,2,A549,3h
LINCSTP_0239,Curcumin,1,NPC,3h
LINCSTP_0240,Dasatinib,0.032,MCF10A,6h
LINCSTP_0241,Dinaciclib,4.5,A549,3h
LINCSTP_0242,BMS-906024,0.5,YAPC,3h
LINCSTP_0243,Rolipram,1,HUVEC,3h
LINCSTP_0244,PD-0332991,0.5,MCF7,24h
LINCSTP_0245,DMSO,0,MCF7,3h
LINCSTP_0246,Semagacestat,10,A375,3h
LINCSTP_0247,Exifone,10,A375,3h
LINCSTP_0248,Flavopiridol,0.4,MCF7,3h
LINCSTP_0249,DMSO,0,MCF10A,72h
LINCSTP_0250,Okadaic Acid,1,MCF7,3h
LINCSTP_0251,Gsk126,1,MCF7,3h
LINCSTP_0252,UNC-0321,10,A375,3h
LINCSTP_0253,Salermide,10,MCF7,3h
LINCSTP_0254,Roscovitine,10,YAPC,3h
LINCSTP_0255,Verteporfin,5,MCF7,6h
LINCSTP_0256,JQ1-S,1,HUVEC,3h
LINCSTP_0257,Curcumin,1,HAoSMC,3h
LINCSTP_0258,Trametinib,0.01,MCF10A,6h
LINCSTP_0259,CPI-169,1,NPC,3h
LINCSTP_0260,Okadaic Acid,1,YAPC,3h
LINCSTP_0261,BMS-906024,0.5,PC3,3h
LINCSTP_0262,Vemurafenib,10,A375,3h
LINCSTP_0263,PS-1145,10,NPC,3h
LINCSTP_0264,RO4929097,3.5,YAPC,3h
LINCSTP_0265,Etoposide,5,PC3,3h
LINCSTP_0266,PD-0332991,0.5,YAPC,3h
LINCSTP_0267,Sirolimus,1,HAoSMC,3h
LINCSTP_0268,EPZ-5687,6,PC3,3h
LINCSTP_0269,Trametinib,0.003,MCF10A,48h
LINCSTP_0270,OSI-027,2,PC3,3h
LINCSTP_0271,Semagacestat,10,PC3,3h
LINCSTP_0272,GSK1210151A,1,PC3,3h
LINCSTP_0273,PRI-724,1.7,YAPC,3h
LINCSTP_0274,BIX-01294,10,PC3,3h
LINCSTP_0275,CPI-169,1,PC3,3h
LINCSTP_0276,GSK525762A,1,A375,3h
LINCSTP_0277,Gsk126,1,A549,3h
LINCSTP_0278,Salermide,10,NPC,3h
LINCSTP_0279,BYL719,0.25,MCF7,6h
LINCSTP_0280,UNC-0321,10,A549,3h
LINCSTP_0281,Nilotinib,3,YAPC,3h
LINCSTP_0282,DMSO,0,MCF10A,3h
LINCSTP_0283,VU0155056,1,A375,3h
LINCSTP_0284,Dexamethasone,10,NPC,3h
LINCSTP_0285,Momelotinib,1,A549,3h
LINCSTP_0286,Calpain inhibitor II,5,A549,3h
LINCSTP_0287,LY-294002,10,YAPC,3h
LINCSTP_0288,Alpelisib,3.162278,MCF10A,3h
LINCSTP_0289,Dinaciclib,4.5,MCF7,3h
LINCSTP_0290,Compound E,0.1,A375,3h
LINCSTP_0291,Sotrastaurin,10,YAPC,3h
LINCSTP_0292,Verteporfin,5,MCF7,24h
LINCSTP_0293,TBB,25,A549,3h
LINCSTP_0294,Vorinostat_HMS,10,MCF10A,3h
LINCSTP_0295,SMER-3,10,A375,3h
LINCSTP_0296,Trichostatin A,1,YAPC,3h
LINCSTP_0297,1271738-62-5,12,NPC,3h
LINCSTP_0298,Okadaic Acid,1,A549,3h
LINCSTP_0299,BMS-345541,1,A375,3h
LINCSTP_0300,Dexamethasone,10,HAoSMC,3h
LINCSTP_0301,BIX-01338,10,PC3,3h
LINCSTP_0302,Gossypetin,10,MCF7,3h
LINCSTP_0303,VX-970,0.1,MCF7,6h
LINCSTP_0304,BMS-906024,0.5,MCF7,24h
LINCSTP_0305,Compound E,0.1,A549,3h
LINCSTP_0306,Taxol,0.003,MCF10A,6h
LINCSTP_0307,Dactolisib,1,MCF7,3h
LINCSTP_0308,UNC-0321,10,NPC,3h
LINCSTP_0309,Trametinib,0.003162,MCF10A,3h
LINCSTP_0310,Selumetinib,5.5,PC3,3h
LINCSTP_0311,OSI-027,2,MCF7,3h
LINCSTP_0312,RGFP966,3.5,PC3,3h
LINCSTP_0313,Trametinib,0.01,MCF10A,3h
LINCSTP_0314,EPZ004777,3,A375,3h
LINCSTP_0315,Sotrastaurin,10,PC3,3h
LINCSTP_0316,Bafilomycin A1,0.05,NPC,3h
LINCSTP_0317,KN-62,10,MCF7,3h
LINCSTP_0318,KN-93,0.1,PC3,3h
LINCSTP_0319,Staurosporine,1,YAPC,3h
LINCSTP_0320,Olaparib,1.5,A375,3h
LINCSTP_0321,Neratinib,0.0316,MCF10A,3h
LINCSTP_0322,KU-55933,10,NPC,3h
LINCSTP_0323,Tofacitinib,0.4,HAoSMC,3h
LINCSTP_0324,Vorinostat,1,MCF7,24h
LINCSTP_0325,Methylstat,10,MCF7,3h
LINCSTP_0326,BMS-906024,0.5,A549,3h
LINCSTP_0327,GSK1210151A,1,A549,3h
LINCSTP_0328,DMSO,0,YAPC,3h
LINCSTP_0329,Dactolisib,1,PC3,3h
LINCSTP_0330,Everolimus,0.1,A375,3h
LINCSTP_0331,AR A014418,3,NPC,3h
LINCSTP_0332,Trichostatin A,1,A375,3h
LINCSTP_0333,Olaparib,1.5,PC3,3h
LINCSTP_0334,1271738-62-5,12,MCF7,3h
LINCSTP_0335,LY-294002,10,A549,3h
LINCSTP_0336,Calpain inhibitor II,5,MCF7,3h
LINCSTP_0337,Losmapimod,0.25,HUVEC,3h
LINCSTP_0338,Geldanamycin,2,NPC,3h
LINCSTP_0339,PRI-724,1.7,A375,3h
LINCSTP_0340,Sotrastaurin,10,A375,3h
LINCSTP_0341,Staurosporine,1,A549,3h
LINCSTP_0342,Curcumin,1,HUVEC,3h
LINCSTP_0343,Dasatinib,0.1,MCF10A,3h
LINCSTP_0344,Etoposide,5,A549,3h
LINCSTP_0345,Staurosporine,1,PC3,3h
LINCSTP_0346,BYL719,10,MCF10A,24h
LINCSTP_0347,DMSO,0,PC3,3h
LINCSTP_0348,Dasatinib,0.032,MCF10A,24h
LINCSTP_0349,Staurosporine,1,NPC,3h
LINCSTP_0350,Tofacitinib,0.4,MCF7,3h
LINCSTP_0351,PD-0332991,0.5,A549,3h
LINCSTP_0352,GSK1210151A,1,NPC,3h
LINCSTP_0353,Verteporfin,5,YAPC,3h
LINCSTP_0354,Geldanamycin,2,HUVEC,3h
LINCSTP_0355,Tacrolimus,10,MCF7,3h
LINCSTP_0356,UNC-0646,0.5,PC3,3h
LINCSTP_0357,Resveratrol,10,HUVEC,3h
LINCSTP_0358,PS-1145,10,YAPC,3h
LINCSTP_0359,Methylstat,10,YAPC,3h
LINCSTP_0360,Ruxolitinib,0.5,PC3,3h
LINCSTP_0361,Flavopiridol,0.4,NPC,3h
LINCSTP_0362,Dasatinib,0.1,MCF10A,72h
LINCSTP_0363,Verteporfin,5,A375,3h
LINCSTP_0364,Geldanamycin,2,A375,3h
LINCSTP_0365,Etoposide,0.316,MCF10A,72h
LINCSTP_0366,Lenalidomide,1,HAoSMC,3h
LINCSTP_0367,Spironolactone,1,HUVEC,3h
LINCSTP_0368,Tacrolimus,10,YAPC,3h
LINCSTP_0369,AR A014418,3,MCF7,3h
LINCSTP_0370,Belinostat,10,A375,3h
LINCSTP_0371,Losmapimod,0.25,MCF7,6h
LINCSTP_0372,Trichostatin A,1,MCF7,3h
LINCSTP_0373,IPI145,0.5,MCF7,3h
LINCSTP_0374,EX527,10,MCF7,3h
LINCSTP_0375,VX-970,0.1,NPC,3h
LINCSTP_0376,Neratinib,0.1,MCF10A,72h
LINCSTP_0377,UNC1215,1,MCF7,3h
LINCSTP_0378,Trametinib,0.001,MCF10A,72h
LINCSTP_0379,PD-0332991,0.5,MCF7,6h
LINCSTP_0380,PRI-724,1.7,PC3,3h
LINCSTP_0381,RO4929097,3.5,NPC,3h
LINCSTP_0382,CC-401,5,NPC,3h
LINCSTP_0383,SCH 900776,5.5,MCF7,6h
LINCSTP_0384,AR A014418,3,A549,3h
LINCSTP_0385,UNC1215,1,A375,3h
LINCSTP_0386,Calpain inhibitor II,5,PC3,3h
LINCSTP_0387,KN-93,0.1,A549,3h
LINCSTP_0388,BYL719,0.25,MCF7,24h
LINCSTP_0389,KU-55933,10,PC3,3h
LINCSTP_0390,Lenalidomide,1,MCF7,3h
LINCSTP_0391,BMS-345541,1,MCF7,3h
LINCSTP_0392,Neratinib,0.1,MCF10A,6h
LINCSTP_0393,BIX-01338,10,A375,3h
LINCSTP_0394,GSK-J4,5,PC3,3h
LINCSTP_0395,Etoposide,5,MCF7,3h
LINCSTP_0396,Belinostat,10,NPC,3h
LINCSTP_0397,Alpelisib,10,MCF10A,3h
LINCSTP_0398,Roscovitine,10,A375,3h
LINCSTP_0399,Flavopiridol,0.4,MCF7,6h
LINCSTP_0400,Verteporfin,5,PC3,3h
LINCSTP_0401,1271738-62-5,12,A375,3h
LINCSTP_0402,Salermide,10,YAPC,3h
LINCSTP_0403,Dasatinib,1,MCF10A,3h
LINCSTP_0404,Zebularine,10,YAPC,3h
LINCSTP_0405,Gsk126,1,YAPC,3h
LINCSTP_0406,AR A014418,3,HAoSMC,3h
LINCSTP_0407,UNC-0646,0.5,YAPC,3h
LINCSTP_0408,Sotrastaurin,10,NPC,3h
LINCSTP_0409,Sirolimus,1,YAPC,3h
LINCSTP_0410,JQ1-S,1,NPC,3h
LINCSTP_0411,EX527,10,A549,3h
LINCSTP_0412,TG101348,8,NPC,3h
LINCSTP_0413,KN-62,10,NPC,3h
LINCSTP_0414,SMER-3,10,PC3,3h
LINCSTP_0415,Sirolimus,1,A549,3h
LINCSTP_0416,TG101348,8,PC3,3h
LINCSTP_0417,CC-401,5,MCF7,6h
LINCSTP_0418,Dactolisib,1,MCF7,24h
LINCSTP_0419,BMS-345541,1,A549,3h
LINCSTP_0420,Tretinoin,3,HAoSMC,3h
LINCSTP_0421,Staurosporine,1,MCF10A,3h
LINCSTP_0422,Sotrastaurin,10,A549,3h
LINCSTP_0423,Flavopiridol,0.4,MCF7,24h
LINCSTP_0424,SP600125,25,HUVEC,3h
LINCSTP_0425,Pazopanib,40,A375,3h
LINCSTP_0426,OSI-027,2,YAPC,3h
LINCSTP_0427,PS-1145,10,MCF7,6h
LINCSTP_0428,Afuresertib,2.5,PC3,3h
LINCSTP_0429,UNC1215,1,YAPC,3h
LINCSTP_0430,Trichostatin A,1,A549,3h
LINCSTP_0431,GSK-J4,5,NPC,3h
LINCSTP_0432,SP600125,25,MCF7,3h
LINCSTP_0433,Resveratrol,10,PC3,3h
LINCSTP_0434,PD0325901,4,PC3,3h
LINCSTP_0435,Zebularine,10,A375,3h
LINCSTP_0436,Exifone,10,PC3,3h
LINCSTP_0437,Dasatinib,0.316,MCF10A,72h
LINCSTP_0438,Dinaciclib,4.5,PC3,3h
LINCSTP_0439,Gossypetin,10,PC3,3h
LINCSTP_0440,Compound E,0.1,YAPC,3h
LINCSTP_0441,CPI-169,1,YAPC,3h
LINCSTP_0442,MS-275,2,MCF7,3h
LINCSTP_0443,Belinostat,10,YAPC,3h
LINCSTP_0444,VU0155056,1,NPC,3h
LINCSTP_0445,Pravastatin,0.75,HUVEC,3h
LINCSTP_0446,Losmapimod,0.25,MCF7,3h
LINCSTP_0447,DMSO,0,A549,3h
LINCSTP_0448,TBB,25,YAPC,3h
LINCSTP_0449,SCH 900776,5.5,A549,3h
LINCSTP_0450,BYL719,0.25,NPC,3h
LINCSTP_0451,Exifone,10,YAPC,3h
LINCSTP_0452,Olaparib,1.5,NPC,3h
LINCSTP_0453,Vorinostat,1,PC3,3h
LINCSTP_0454,Gossypetin,10,A549,3h
LINCSTP_0455,AR A014418,3,A375,3h
LINCSTP_0456,Pravastatin,0.75,NPC,3h
LINCSTP_0457,Ginkgetin,5,NPC,3h
LINCSTP_0458,BYL719,10,PC3,3h
LINCSTP_0459,GSK1210151A,1,YAPC,3h
LINCSTP_0460,Pravastatin,0.75,A549,3h
LINCSTP_0461,KN-62,10,YAPC,3h
LINCSTP_0462,BIX-01294,10,MCF7,3h
LINCSTP_0463,BMS-345541,1,PC3,3h
LINCSTP_0464,Resveratrol,10,MCF7,3h
LINCSTP_0465,DMSO,0,HUVEC,3h
LINCSTP_0466,CI-994,2,MCF7,3h
LINCSTP_0467,Dexamethasone,10,YAPC,3h
LINCSTP_0468,Dasatinib,0.1,MCF10A,6h
LINCSTP_0469,Belinostat,10,A549,3h
LINCSTP_0470,BIX-01294,10,A549,3h
LINCSTP_0471,CC-401,5,MCF7,3h
LINCSTP_0472,Pazopanib,40,YAPC,3h
LINCSTP_0473,TG101348,8,MCF7,6h
LINCSTP_0474,KN-62,10,A375,3h
LINCSTP_0475,BIX-01338,10,A549,3h
LINCSTP_0476,PS-1145,10,A375,3h
LINCSTP_0477,LY-294002,10,A375,3h
LINCSTP_0478,VX-970,0.1,YAPC,3h
LINCSTP_0479,Curcumin,1,MCF7,3h
LINCSTP_0480,Trametinib,0.001,MCF10A,24h
LINCSTP_0481,KN-62,10,HAoSMC,3h
LINCSTP_0482,Gsk126,1,PC3,3h
LINCSTP_0483,RGFP966,3.5,A375,3h
LINCSTP_0484,Salermide,10,A549,3h
LINCSTP_0485,BMS-906024,0.5,A375,3h
LINCSTP_0486,SMER-3,10,NPC,3h
LINCSTP_0487,Taxol,0.003,MCF10A,24h
LINCSTP_0488,Pravastatin,0.75,MCF7,3h
LINCSTP_0489,Taxol,0.003,MCF10A,72h
LINCSTP_0490,Pazopanib,40,HUVEC,3h
LINCSTP_0491,BYL719,10,MCF10A,72h
LINCSTP_0492,Sirolimus,1,HUVEC,3h
LINCSTP_0493,EPZ-5676,10,MCF7,3h
LINCSTP_0494,BMS-345541,1,YAPC,3h
LINCSTP_0495,Dasatinib,0.316,MCF10A,24h
LINCSTP_0496,EPZ-5687,6,NPC,3h
LINCSTP_0497,SCH 900776,5.5,PC3,3h
LINCSTP_0498,MS-275,2,PC3,3h
LINCSTP_0499,VX-970,0.1,A549,3h
LINCSTP_0500,Compound E,0.1,PC3,3h
LINCSTP_0501,Angiotensin II,0.1,HAoSMC,3h
LINCSTP_0502,Roscovitine,10,PC3,3h
LINCSTP_0503,UNC-0646,0.5,NPC,3h
LINCSTP_0504,Geldanamycin,2,PC3,3h
LINCSTP_0505,LY-294002,10,HAoSMC,3h
LINCSTP_0506,MS-275,2,A375,3h
LINCSTP_0507,EPZ-5687,6,A549,3h
LINCSTP_0508,Etoposide,1,MCF10A,3h
LINCSTP_0509,Afuresertib,2.5,MCF7,6h
LINCSTP_0510,KN-93,0.1,NPC,3h
LINCSTP_0511,Ginkgetin,5,YAPC,3h
LINCSTP_0512,CHIR99021,2,A375,3h
LINCSTP_0513,Vemurafenib,10,MCF7,3h
LINCSTP_0514,Alpelisib,1,MCF10A,3h
LINCSTP_0515,C646 (CHEMBL1797936),25,MCF7,3h
LINCSTP_0516,Etoposide,0.316,MCF10A,6h
LINCSTP_0517,TG101348,8,MCF7,24h
LINCSTP_0518,VU0155056,1,YAPC,3h
LINCSTP_0519,AR A014418,3,YAPC,3h
LINCSTP_0520,Bafilomycin A1,0.05,A549,3h
LINCSTP_0521,Rolipram,1,MCF7,3h
LINCSTP_0522,EPZ004777,3,PC3,3h
LINCSTP_0523,TG101348,8,A375,3h
