Protein	CTRL.28.4.1	CTRL.30.1.1	CTRL.30.5.1	CTRL.30.7.1	CTRL.39.2.1	CTRL.39.3.1	CTRL.39.6.1	CTRL.39.12.1	CTRL.39.13.1	BOS.39.13.2	BOS.42.10.2	BOS.42.11.2	CTRL.28.4.1.Norm	CTRL.30.1.1.Norm	CTRL.30.5.1.Norm	CTRL.30.7.1.Norm	CTRL.39.2.1.Norm	CTRL.39.3.1.Norm	CTRL.39.6.1.Norm	CTRL.39.12.1.Norm	CTRL.39.13.1.Norm	BOS.39.13.2.Norm	BOS.42.10.2.Norm	BOS.42.11.2.Norm
1A1L1_HUMAN	0	0	1	0	0	0	0	0	0	0	0	0	0	0	38.2711448745898	0	0	0	0	0	0	0	0	0
1A24_HUMAN	0	0	5	0	0	0	0	0	0	0	0	0	0	0	191.355724372949	0	0	0	0	0	0	0	0	0
1A69_HUMAN	0	0	6	9	0	0	0	0	6	0	0	6	0	0	229.626869247539	368.892800959806	0	0	0	0	245.648177214827	0	0	217.78607978649
1B08_HUMAN	6	0	0	0	17	6	4	0	6	5	0	0	191.725288549085	0	0	0	344.562019498744	189.70235739982	163.861460511091	0	245.648177214827	195.639977310647	0	0
1B38_HUMAN	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	304.025311322421	0	0	0	0	0	0	0
1B42_HUMAN	0	5	6	5	0	0	0	8	0	0	6	0	0	180.19181490385	229.626869247539	204.94044497767	0	0	0	337.307642673477	0	0	279.114040437177	0
1B67_HUMAN	0	0	5	0	0	0	0	0	0	0	0	0	0	0	191.355724372949	0	0	0	0	0	0	0	0	0
1C06_HUMAN	6	0	7	0	0	6	0	0	0	0	7	6	191.725288549085	0	267.898014122128	0	0	189.70235739982	0	0	0	0	325.633047176706	217.78607978649
1C07_HUMAN	0	0	0	6	23	0	0	0	0	0	0	0	0	0	0	245.928533973204	466.172144027712	0	0	0	0	0	0	0
1C08_HUMAN	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	195.639977310647	0	0
1C12_HUMAN	7	0	0	0	22	5	0	0	0	0	0	6	223.679503307266	0	0	0	445.903789939551	158.085297833183	0	0	0	0	0	217.78607978649
2A5D_HUMAN	4	1	4	2	5	5	3	3	1	0	0	0	127.816859032724	36.0383629807699	153.084579498359	81.976177991068	101.341770440807	158.085297833183	122.896095383318	126.490366002554	40.9413628691379	0	0	0
2A5E_HUMAN	0	1	0	1	2	1	0	1	0	0	0	1	0	36.0383629807699	0	40.988088995534	40.5367081763228	31.6170595666366	0	42.1634553341846	0	0	0	36.2976799644149
2A5G_HUMAN	3	0	0	0	0	0	0	0	0	0	0	0	95.8626442745427	0	0	0	0	0	0	0	0	0	0	0
2AAA_HUMAN	14	18	22	20	31	22	22	18	17	11	12	12	447.359006614532	648.690533653859	841.965187240975	819.76177991068	628.318976733004	695.575310466005	901.238032810999	758.942196015322	696.003168775344	430.407950083424	558.228080874354	435.572159572979
2ABA_HUMAN	10	5	4	3	10	6	2	5	6	8	4	5	319.542147581809	180.19181490385	153.084579498359	122.964266986602	202.683540881614	189.70235739982	81.9307302555453	210.817276670923	245.648177214827	313.023963697036	186.076026958118	181.488399822075
3BHS7_HUMAN	1	0	0	0	0	0	0	0	0	0	0	0	31.9542147581809	0	0	0	0	0	0	0	0	0	0	0
3HAO_HUMAN	0	1	0	0	4	1	0	0	1	0	2	0	0	36.0383629807699	0	0	81.0734163526456	31.6170595666366	0	0	40.9413628691379	0	93.038013479059	0
3HIDH_HUMAN	8	7	6	4	19	6	5	3	2	9	7	6	255.633718065447	252.26854086539	229.626869247539	163.952355982136	385.098727675067	189.70235739982	204.826825638863	126.490366002554	81.8827257382758	352.151959159165	325.633047176706	217.78607978649
3MG_HUMAN	1	0	1	1	0	1	0	0	0	0	0	0	31.9542147581809	0	38.2711448745898	40.988088995534	0	31.6170595666366	0	0	0	0	0	0
4F2_HUMAN	15	9	10	10	27	14	11	10	8	4	4	10	479.313221372713	324.34526682693	382.711448745898	409.88088995534	547.245560380358	442.638833932912	450.619016405499	421.634553341846	327.530902953103	156.511981848518	186.076026958118	362.976799644149
5NTC_HUMAN	4	3	6	5	9	7	4	3	6	0	1	1	127.816859032724	108.11508894231	229.626869247539	204.94044497767	182.415186793453	221.319416966456	163.861460511091	126.490366002554	245.648177214827	0	46.5190067395295	36.2976799644149
5NTD_HUMAN	2	2	1	1	16	2	3	1	3	3	2	2	63.9084295163618	72.0767259615399	38.2711448745898	40.988088995534	324.293665410582	63.2341191332732	122.896095383318	42.1634553341846	122.824088607414	117.383986386388	93.038013479059	72.5953599288299
6PGD_HUMAN	13	16	14	13	23	14	11	9	11	7	5	10	415.404791856352	576.613807692319	535.796028244257	532.845156941942	466.172144027712	442.638833932912	450.619016405499	379.471098007661	450.354991560517	273.895968234906	232.595033697647	362.976799644149
6PGL_HUMAN	13	13	12	10	28	14	9	13	17	11	11	12	415.404791856352	468.498718750009	459.253738495077	409.88088995534	567.513914468519	442.638833932912	368.688286149954	548.124919344399	696.003168775344	430.407950083424	511.709074134824	435.572159572979
8ODP_HUMAN	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	36.2976799644149
A16A1_HUMAN	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	31.6170595666366	0	42.1634553341846	0	0	0	0
A2MG_HUMAN	4	2	0	1	0	2	0	1	0	0	0	0	127.816859032724	72.0767259615399	0	40.988088995534	0	63.2341191332732	0	42.1634553341846	0	0	0	0
A4_HUMAN	2	0	0	0	8	0	0	1	0	4	2	4	63.9084295163618	0	0	0	162.146832705291	0	0	42.1634553341846	0	156.511981848518	93.038013479059	145.19071985766
AAAS_HUMAN	0	2	0	0	0	0	0	0	0	0	0	0	0	72.0767259615399	0	0	0	0	0	0	0	0	0	0
AAAT_HUMAN	0	0	0	0	3	0	0	1	0	0	0	0	0	0	0	0	60.8050622644842	0	0	42.1634553341846	0	0	0	0
AAGAB_HUMAN	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	20.2683540881614	0	0	0	0	0	0	0
AAK1_HUMAN	2	2	1	2	4	2	0	0	1	0	0	0	63.9084295163618	72.0767259615399	38.2711448745898	81.976177991068	81.0734163526456	63.2341191332732	0	0	40.9413628691379	0	0	0
AAKB1_HUMAN	3	1	0	1	4	2	0	0	0	0	2	2	95.8626442745427	36.0383629807699	0	40.988088995534	81.0734163526456	63.2341191332732	0	0	0	0	93.038013479059	72.5953599288299
AAKB2_HUMAN	9	2	1	2	5	6	2	0	1	1	3	0	287.587932823628	72.0767259615399	38.2711448745898	81.976177991068	101.341770440807	189.70235739982	81.9307302555453	0	40.9413628691379	39.1279954621294	139.557020218588	0
AAKG1_HUMAN	4	6	7	8	11	6	4	3	3	2	3	4	127.816859032724	216.23017788462	267.898014122128	327.904711964272	222.951894969775	189.70235739982	163.861460511091	126.490366002554	122.824088607414	78.2559909242589	139.557020218588	145.19071985766
AAMDC_HUMAN	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	46.5190067395295	0
AAPK1_HUMAN	10	2	8	10	6	12	4	5	5	7	4	2	319.542147581809	72.0767259615399	306.169158996718	409.88088995534	121.610124528968	379.404714799639	163.861460511091	210.817276670923	204.706814345689	273.895968234906	186.076026958118	72.5953599288299
AASD1_HUMAN	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	20.2683540881614	0	40.9653651277727	0	0	0	0	0
AASS_HUMAN	0	0	1	0	2	0	1	0	0	0	0	0	0	0	38.2711448745898	0	40.5367081763228	0	40.9653651277727	0	0	0	0	0
AATC_HUMAN	11	16	13	8	26	11	9	9	8	10	8	11	351.49636233999	576.613807692319	497.524883369667	327.904711964272	526.977206292197	347.787655233003	368.688286149954	379.471098007661	327.530902953103	391.279954621295	372.152053916236	399.274479608564
AATM_HUMAN	12	9	11	10	15	11	5	10	3	7	6	6	383.450577098171	324.34526682693	420.982593620487	409.88088995534	304.025311322421	347.787655233003	204.826825638863	421.634553341846	122.824088607414	273.895968234906	279.114040437177	217.78607978649
ABC3C_HUMAN	0	0	1	1	0	1	0	2	0	0	0	0	0	0	38.2711448745898	40.988088995534	0	31.6170595666366	0	84.3269106683691	0	0	0	0
ABC3D_HUMAN	1	0	0	0	1	0	1	0	0	0	1	0	31.9542147581809	0	0	0	20.2683540881614	0	40.9653651277727	0	0	0	46.5190067395295	0
ABCA1_HUMAN	0	2	0	1	0	1	0	0	0	0	0	0	0	72.0767259615399	0	40.988088995534	0	31.6170595666366	0	0	0	0	0	0
ABCA8_HUMAN	0	1	0	2	2	2	0	0	1	0	0	0	0	36.0383629807699	0	81.976177991068	40.5367081763228	63.2341191332732	0	0	40.9413628691379	0	0	0
ABCB6_HUMAN	0	2	0	2	1	1	1	0	0	0	0	0	0	72.0767259615399	0	81.976177991068	20.2683540881614	31.6170595666366	40.9653651277727	0	0	0	0	0
ABCB7_HUMAN	1	1	1	1	1	1	1	0	0	0	0	0	31.9542147581809	36.0383629807699	38.2711448745898	40.988088995534	20.2683540881614	31.6170595666366	40.9653651277727	0	0	0	0	0
ABCD3_HUMAN	0	2	0	1	1	2	0	0	1	0	0	0	0	72.0767259615399	0	40.988088995534	20.2683540881614	63.2341191332732	0	0	40.9413628691379	0	0	0
ABCD4_HUMAN	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	31.6170595666366	0	0	0	0	0	0
ABCE1_HUMAN	3	3	0	1	4	4	3	1	2	1	0	0	95.8626442745427	108.11508894231	0	40.988088995534	81.0734163526456	126.468238266546	122.896095383318	42.1634553341846	81.8827257382758	39.1279954621294	0	0
ABCF1_HUMAN	9	5	4	5	7	6	6	4	5	2	2	3	287.587932823628	180.19181490385	153.084579498359	204.94044497767	141.87847861713	189.70235739982	245.792190766636	168.653821336738	204.706814345689	78.2559909242589	93.038013479059	108.893039893245
ABCF2_HUMAN	0	1	0	0	1	1	1	0	1	0	0	0	0	36.0383629807699	0	0	20.2683540881614	31.6170595666366	40.9653651277727	0	40.9413628691379	0	0	0
ABCF3_HUMAN	0	0	0	0	1	0	0	1	1	0	0	0	0	0	0	0	20.2683540881614	0	0	42.1634553341846	40.9413628691379	0	0	0
ABD12_HUMAN	1	2	3	3	1	3	1	1	1	0	0	0	31.9542147581809	72.0767259615399	114.813434623769	122.964266986602	20.2683540881614	94.8511786999098	40.9653651277727	42.1634553341846	40.9413628691379	0	0	0
ABHD4_HUMAN	1	0	1	0	0	0	1	0	0	0	0	0	31.9542147581809	0	38.2711448745898	0	0	0	40.9653651277727	0	0	0	0	0
ABHD5_HUMAN	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	40.988088995534	0	0	0	0	0	0	0	0
ABHDA_HUMAN	3	2	2	1	3	2	3	4	4	2	2	1	95.8626442745427	72.0767259615399	76.5422897491795	40.988088995534	60.8050622644842	63.2341191332732	122.896095383318	168.653821336738	163.765451476552	78.2559909242589	93.038013479059	36.2976799644149
ABHEB_HUMAN	7	8	7	7	15	7	5	5	6	7	6	7	223.679503307266	288.30690384616	267.898014122128	286.916622968738	304.025311322421	221.319416966456	204.826825638863	210.817276670923	245.648177214827	273.895968234906	279.114040437177	254.083759750905
ABHGA_HUMAN	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	20.2683540881614	0	0	0	0	0	0	0
ABI1_HUMAN	5	2	2	3	7	1	1	3	1	5	4	5	159.771073790904	72.0767259615399	76.5422897491795	122.964266986602	141.87847861713	31.6170595666366	40.9653651277727	126.490366002554	40.9413628691379	195.639977310647	186.076026958118	181.488399822075
ABI2_HUMAN	1	2	0	0	2	2	1	0	2	2	3	1	31.9542147581809	72.0767259615399	0	0	40.5367081763228	63.2341191332732	40.9653651277727	0	81.8827257382758	78.2559909242589	139.557020218588	36.2976799644149
ABL1_HUMAN	0	1	0	0	0	0	0	0	0	0	0	0	0	36.0383629807699	0	0	0	0	0	0	0	0	0	0
ABLM1_HUMAN	13	5	3	4	9	11	4	2	6	7	7	9	415.404791856352	180.19181490385	114.813434623769	163.952355982136	182.415186793453	347.787655233003	163.861460511091	84.3269106683691	245.648177214827	273.895968234906	325.633047176706	326.679119679734
ABR_HUMAN	1	0	0	0	0	1	0	0	0	0	0	0	31.9542147581809	0	0	0	0	31.6170595666366	0	0	0	0	0	0
ABRAL_HUMAN	0	1	1	0	0	1	0	0	0	0	0	0	0	36.0383629807699	38.2711448745898	0	0	31.6170595666366	0	0	0	0	0	0
ACAD8_HUMAN	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	31.6170595666366	0	0	40.9413628691379	0	0	0
ACAD9_HUMAN	5	5	3	5	4	6	2	1	1	1	0	0	159.771073790904	180.19181490385	114.813434623769	204.94044497767	81.0734163526456	189.70235739982	81.9307302555453	42.1634553341846	40.9413628691379	39.1279954621294	0	0
ACADM_HUMAN	5	5	4	4	4	4	3	4	5	4	3	3	159.771073790904	180.19181490385	153.084579498359	163.952355982136	81.0734163526456	126.468238266546	122.896095383318	168.653821336738	204.706814345689	156.511981848518	139.557020218588	108.893039893245
ACADV_HUMAN	11	14	14	8	17	10	5	8	13	4	4	3	351.49636233999	504.537081730779	535.796028244257	327.904711964272	344.562019498744	316.170595666366	204.826825638863	337.307642673477	532.237717298792	156.511981848518	186.076026958118	108.893039893245
ACAP2_HUMAN	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	40.988088995534	0	0	0	0	0	0	0	0
ACBD6_HUMAN	1	0	0	2	0	0	1	1	0	0	0	0	31.9542147581809	0	0	81.976177991068	0	0	40.9653651277727	42.1634553341846	0	0	0	0
ACBP_HUMAN	4	1	4	2	4	5	3	2	1	7	9	4	127.816859032724	36.0383629807699	153.084579498359	81.976177991068	81.0734163526456	158.085297833183	122.896095383318	84.3269106683691	40.9413628691379	273.895968234906	418.671060655765	145.19071985766
ACDSB_HUMAN	1	3	1	2	7	3	0	0	0	2	0	0	31.9542147581809	108.11508894231	38.2711448745898	81.976177991068	141.87847861713	94.8511786999098	0	0	0	78.2559909242589	0	0
ACINU_HUMAN	3	2	1	2	1	4	2	1	2	2	2	3	95.8626442745427	72.0767259615399	38.2711448745898	81.976177991068	20.2683540881614	126.468238266546	81.9307302555453	42.1634553341846	81.8827257382758	78.2559909242589	93.038013479059	108.893039893245
ACL6A_HUMAN	2	0	2	2	1	0	1	2	1	0	0	0	63.9084295163618	0	76.5422897491795	81.976177991068	20.2683540881614	0	40.9653651277727	84.3269106683691	40.9413628691379	0	0	0
ACLY_HUMAN	5	11	10	10	27	20	13	15	11	3	7	7	159.771073790904	396.421992788469	382.711448745898	409.88088995534	547.245560380358	632.341191332732	532.549746661045	632.451830012768	450.354991560517	117.383986386388	325.633047176706	254.083759750905
ACO13_HUMAN	1	0	2	2	3	1	2	0	2	1	1	1	31.9542147581809	0	76.5422897491795	81.976177991068	60.8050622644842	31.6170595666366	81.9307302555453	0	81.8827257382758	39.1279954621294	46.5190067395295	36.2976799644149
ACOC_HUMAN	3	4	3	6	8	3	3	1	1	0	2	1	95.8626442745427	144.15345192308	114.813434623769	245.928533973204	162.146832705291	94.8511786999098	122.896095383318	42.1634553341846	40.9413628691379	0	93.038013479059	36.2976799644149
ACOD_HUMAN	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	39.1279954621294	0	0
ACON_HUMAN	20	22	14	10	33	14	7	13	10	12	7	9	639.084295163618	792.843985576939	535.796028244257	409.88088995534	668.855684909326	442.638833932912	286.757555894409	548.124919344399	409.413628691379	469.535945545553	325.633047176706	326.679119679734
ACOT1_HUMAN	4	7	4	7	9	7	3	6	4	3	5	3	127.816859032724	252.26854086539	153.084579498359	286.916622968738	182.415186793453	221.319416966456	122.896095383318	252.980732005107	163.765451476552	117.383986386388	232.595033697647	108.893039893245
ACOT9_HUMAN	2	4	7	6	2	3	4	3	1	0	0	0	63.9084295163618	144.15345192308	267.898014122128	245.928533973204	40.5367081763228	94.8511786999098	163.861460511091	126.490366002554	40.9413628691379	0	0	0
ACOX1_HUMAN	0	2	1	2	2	3	1	1	2	0	0	0	0	72.0767259615399	38.2711448745898	81.976177991068	40.5367081763228	94.8511786999098	40.9653651277727	42.1634553341846	81.8827257382758	0	0	0
ACOX3_HUMAN	0	6	4	4	1	2	1	0	1	0	0	0	0	216.23017788462	153.084579498359	163.952355982136	20.2683540881614	63.2341191332732	40.9653651277727	0	40.9413628691379	0	0	0
ACPH_HUMAN	8	5	6	4	11	5	3	3	2	2	2	4	255.633718065447	180.19181490385	229.626869247539	163.952355982136	222.951894969775	158.085297833183	122.896095383318	126.490366002554	81.8827257382758	78.2559909242589	93.038013479059	145.19071985766
ACPM_HUMAN	0	0	0	1	0	1	0	0	0	1	0	0	0	0	0	40.988088995534	0	31.6170595666366	0	0	0	39.1279954621294	0	0
ACS2L_HUMAN	1	0	0	0	0	0	0	0	0	0	0	0	31.9542147581809	0	0	0	0	0	0	0	0	0	0	0
ACSA_HUMAN	2	2	1	0	1	1	2	2	0	0	0	0	63.9084295163618	72.0767259615399	38.2711448745898	0	20.2683540881614	31.6170595666366	81.9307302555453	84.3269106683691	0	0	0	0
ACSF2_HUMAN	2	1	1	3	1	0	0	0	0	0	0	0	63.9084295163618	36.0383629807699	38.2711448745898	122.964266986602	20.2683540881614	0	0	0	0	0	0	0
ACSF3_HUMAN	1	1	1	1	0	2	0	0	0	0	0	0	31.9542147581809	36.0383629807699	38.2711448745898	40.988088995534	0	63.2341191332732	0	0	0	0	0	0
ACSL1_HUMAN	3	11	5	4	9	2	4	4	1	1	2	1	95.8626442745427	396.421992788469	191.355724372949	163.952355982136	182.415186793453	63.2341191332732	163.861460511091	168.653821336738	40.9413628691379	39.1279954621294	93.038013479059	36.2976799644149
ACSL3_HUMAN	6	12	6	6	12	5	3	2	2	2	3	1	191.725288549085	432.460355769239	229.626869247539	245.928533973204	243.220249057937	158.085297833183	122.896095383318	84.3269106683691	81.8827257382758	78.2559909242589	139.557020218588	36.2976799644149
ACSL4_HUMAN	0	0	0	0	3	1	0	0	0	0	0	0	0	0	0	0	60.8050622644842	31.6170595666366	0	0	0	0	0	0
ACSM6_HUMAN	0	0	0	0	5	0	0	0	0	0	0	2	0	0	0	0	101.341770440807	0	0	0	0	0	0	72.5953599288299
ACSS3_HUMAN	0	0	1	1	0	0	0	0	0	0	0	0	0	0	38.2711448745898	40.988088995534	0	0	0	0	0	0	0	0
ACTA_HUMAN	481	503	510	425	723	480	423	485	442	333	318	347	15369.977298685	18127.2965793273	19518.2838860408	17419.9378231019	14654.0200057407	15176.1885919856	17328.3494490478	20449.2758370795	18096.0823881589	13029.6224888891	14793.0441431704	12595.294947652
ACTB_HUMAN	580	631	622	541	953	565	522	647	541	462	415	454	18533.4445597449	22740.2070408658	23804.6521119948	22174.5561465839	19315.7414460178	17863.6386551497	21383.9205966973	27279.7556012174	22149.2773122036	18077.1339035038	19305.3877969047	16479.1467038444
ACTBL_HUMAN	130	156	130	115	152	124	110	139	117	86	87	89	4154.04791856352	5621.98462500011	4975.24883369667	4713.63023448641	3080.78982140053	3920.51538626294	4506.19016405499	5860.72029145165	4790.13945568913	3365.00760974313	4047.15358633907	3230.49351683293
ACTC_HUMAN	506	536	537	476	762	502	445	502	470	358	341	370	16168.8326676395	19316.5625576927	20551.6047976547	19510.3303618742	15444.485815179	15871.7639024516	18229.5874818588	21166.0545777607	19242.4405484948	14007.8223754423	15862.9812981796	13430.1415868335
ACTG_HUMAN	573	624	609	534	942	559	514	632	535	452	405	450	18309.7650564376	22487.9385000004	23307.1272286252	21887.6395236151	19092.789551048	17673.9362977499	21056.1976756751	26647.3037712046	21903.6291349888	17685.8539488825	18840.1977295094	16333.9559839867
ACTH_HUMAN	466	0	500	421	437	463	409	476	430	315	305	335	14890.6640773123	0	19135.5724372949	17255.9854671198	8857.27073652653	14638.6985793527	16754.834337259	20069.8047390719	17604.7860337293	12325.3185705708	14188.2970555565	12159.722788079
ACTN1_HUMAN	183	208	208	192	308	211	164	182	181	131	101	115	5847.6213007471	7495.97950000015	7960.39813391467	7869.71308714253	6242.65305915371	6671.19956856032	6718.31988095472	7673.74887082159	7410.38667931396	5125.76740553896	4698.41968069248	4174.23319590772
ACTN2_HUMAN	41	31	66	40	69	38	44	31	38	37	23	34	1310.12280508542	1117.18925240387	2525.89556172292	1639.52355982136	1398.51643208314	1201.44826353219	1802.476065622	1307.06711535972	1555.77178902724	1447.73583209879	1069.93715500918	1234.12111879011
ACTN3_HUMAN	0	0	0	0	22	0	0	0	0	0	0	0	0	0	0	0	445.903789939551	0	0	0	0	0	0	0
ACTN4_HUMAN	154	182	200	160	292	167	157	169	158	135	101	123	4920.94907275986	6558.98206250013	7654.22897491795	6558.09423928544	5918.35939374313	5280.04894762831	6431.56232506031	7125.62395147719	6468.73533332379	5282.27938738748	4698.41968069248	4464.61463562304
ACTS_HUMAN	451	0	482	0	250	441	400	448	417	321	0	331	14411.3508559396	0	18446.6918295523	0	5067.08852204035	13943.1232688867	16386.1460511091	18889.2279897147	17072.5483164305	12560.0865433436	0	12014.5320682213
ACTY_HUMAN	9	0	8	6	15	10	11	9	7	2	7	7	287.587932823628	0	306.169158996718	245.928533973204	304.025311322421	316.170595666366	450.619016405499	379.471098007661	286.589540083965	78.2559909242589	325.633047176706	254.083759750905
ACTZ_HUMAN	16	10	16	11	24	21	14	13	14	5	15	11	511.267436130894	360.383629807699	612.338317993436	450.868978950874	486.440498115874	663.958250899369	573.515111788817	548.124919344399	573.17908016793	195.639977310647	697.785101092942	399.274479608564
ACVR1_HUMAN	0	1	0	0	0	0	0	0	0	0	0	0	0	36.0383629807699	0	0	0	0	0	0	0	0	0	0
ACY1_HUMAN	3	1	0	0	1	1	0	1	2	1	0	2	95.8626442745427	36.0383629807699	0	0	20.2683540881614	31.6170595666366	0	42.1634553341846	81.8827257382758	39.1279954621294	0	72.5953599288299
ACYP2_HUMAN	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	46.5190067395295	36.2976799644149
ADA_HUMAN	6	5	6	5	5	4	1	1	4	1	2	2	191.725288549085	180.19181490385	229.626869247539	204.94044497767	101.341770440807	126.468238266546	40.9653651277727	42.1634553341846	163.765451476552	39.1279954621294	93.038013479059	72.5953599288299
ADA10_HUMAN	1	0	1	1	3	2	1	2	1	0	2	0	31.9542147581809	0	38.2711448745898	40.988088995534	60.8050622644842	63.2341191332732	40.9653651277727	84.3269106683691	40.9413628691379	0	93.038013479059	0
ADA12_HUMAN	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	40.9413628691379	0	0	0
ADAM9_HUMAN	0	0	1	0	0	0	1	0	0	0	0	0	0	0	38.2711448745898	0	0	0	40.9653651277727	0	0	0	0	0
ADAS_HUMAN	6	6	4	6	9	5	4	4	4	1	1	0	191.725288549085	216.23017788462	153.084579498359	245.928533973204	182.415186793453	158.085297833183	163.861460511091	168.653821336738	163.765451476552	39.1279954621294	46.5190067395295	0
ADDA_HUMAN	8	13	4	4	15	5	7	3	6	2	6	6	255.633718065447	468.498718750009	153.084579498359	163.952355982136	304.025311322421	158.085297833183	286.757555894409	126.490366002554	245.648177214827	78.2559909242589	279.114040437177	217.78607978649
ADDG_HUMAN	4	5	2	3	9	6	2	3	4	2	7	2	127.816859032724	180.19181490385	76.5422897491795	122.964266986602	182.415186793453	189.70235739982	81.9307302555453	126.490366002554	163.765451476552	78.2559909242589	325.633047176706	72.5953599288299
ADH1A_HUMAN	0	0	0	0	15	17	11	22	0	0	14	0	0	0	0	0	304.025311322421	537.490012632822	450.619016405499	927.59601735206	0	0	651.266094353413	0
ADH1B_HUMAN	9	11	11	10	45	28	19	32	27	23	24	19	287.587932823628	396.421992788469	420.982593620487	409.88088995534	912.075933967263	885.277667865825	778.34193742768	1349.23057069391	1105.41679746672	899.943895628977	1116.45616174871	689.655919323884
ADH1G_HUMAN	0	0	0	4	6	0	5	12	9	0	0	5	0	0	0	163.952355982136	121.610124528968	0	204.826825638863	505.961464010215	368.472265822241	0	0	181.488399822075
ADHX_HUMAN	16	22	13	12	30	16	13	15	16	15	17	16	511.267436130894	792.843985576939	497.524883369667	491.857067946408	608.050622644842	505.872953066186	532.549746661045	632.451830012768	655.061805906206	586.919931931942	790.823114572001	580.762879430639
ADK_HUMAN	5	2	2	2	4	2	1	3	0	1	1	2	159.771073790904	72.0767259615399	76.5422897491795	81.976177991068	81.0734163526456	63.2341191332732	40.9653651277727	126.490366002554	0	39.1279954621294	46.5190067395295	72.5953599288299
ADNP_HUMAN	1	0	0	0	0	1	0	0	0	0	0	0	31.9542147581809	0	0	0	0	31.6170595666366	0	0	0	0	0	0
ADPGK_HUMAN	1	2	1	1	2	1	1	1	1	0	0	0	31.9542147581809	72.0767259615399	38.2711448745898	40.988088995534	40.5367081763228	31.6170595666366	40.9653651277727	42.1634553341846	40.9413628691379	0	0	0
